ra dec colour file 
237.74594 1.4850507 0.4571685891215722 [286811] 
31.04855400000002 26.575481 1.247680865581323 [21] 
31.374281 27.248608 0.6651403075052826 [20] 
31.40874700000001 26.935936 0.5203789826509677 [7] 
31.17768799999999 27.116747 0.41655237082340335 [10] 
31.32701099999997 26.810259 0.0071825119574739915 [6] 
214.65476 44.251007 0.27937847264716 [1529125] 
237.7918099999999 2.05698 0.4584879044460095 [286820] 
237.85517 2.0274375 1.5416719724714412 [286816] 
31.31415700000002 26.916897 nan [9] 
31.394521 26.866054 2.516102192453964 [5] 
31.23754600000001 26.682522 0.3079025061427245 [4] 
237.85965 2.1075432 1.673046375599938 [286822] 
31.36204800000002 26.953807 0.24032932205138025 [8] 
31.27959399999997 26.608501 1.5762549390517293 [3] 
31.24983200000003 27.368382 0.136313959745344 [19] 
31.282286 26.582945 0.8134450509550533 [2] 
